givennameLabel;qid
Bliss;Q70606030
Blue;Q26960293
Blyth;Q90416635
Bo;Q20083705
Bobi;Q122232044
Bogislaus;Q110552631
Bola;Q103815275
Bonamy;Q88446500
Boni;Q5731943
Bonnie;Q4689423
Booth;Q16275056
Börje;Q3491357
Borlase;Q29023832
Boro;Q122232027
Boscawen;Q91610839
Boston;Q47456711
Bosville;Q81432970
Bosworth;Q116106637
Boughey;Q117798033
Bouke;Q21142388
Boulton;Q29470445
Bowden;Q111048175
Bowman;Q98545380
Bowring;Q81295881
Boyce;Q54820126
Boyle;Q20155801
Boynton;Q62092153
Braam;Q105595443
Bradshaw;Q112034392
Brahima;Q106205680
Brainerd;Q64614171
Branch;Q111836793
Braydon;Q51935247
Bregje;Q21142911
Bridgeman;Q105655895
Bridger;Q81907284
Bridges;Q60363461
Brieuc;Q66134243
Brighton;Q54383401
Brigitte;Q18175370
Brinsley;Q56168224
Brittain;Q125145269
Broadley;Q91702721
Broc;Q106765146
Brogan;Q97751278
Broke;Q92253189
Bronte;Q21534721
Brooke;Q3645341
Broughton;Q110796158
Brudenell;Q81412388
Brydges;Q105532196
Brynhild;Q521264
Bryon;Q85297312
Bù;Q124632299
Buchanan;Q62081104
Buckner;Q80470993
Bucky;Q55283526
Bukurie;Q116691222
Bulkeley;Q102158723
Buller;Q92677155
Bunny;Q17018071
Burbuqe;Q122231992
Burch;Q111040293
Burd;Q116194009
Burdett;Q47347288
Burdette;Q125857694
Burdon;Q84205503
Burgess;Q43099534
Burghardt;Q115275713
Burgoyne;Q126272003
Burleigh;Q29552949
Burnham;Q29358959
Burns;Q89332777
Burrell;Q69922266
Burrows;Q90973205
Burwell;Q71572017
Bushnell;Q121504357
Busisiwe;Q109466689
Buxton;Q48818088
Bùyí;Q124631978
Byam;Q29353427
Byard;Q120442626
Byeong;Q16256253
Byrd;Q91708249
Byrne;Q95226294
C.;Q19803499
Cacilda;Q122231987
Cade;Q97751615
Cady;Q16275135
Çağatay;Q57085859
Çağlar;Q64706767
Cai;Q96473305
Calder;Q61638869
Caldwell;Q16275138
Calhoun;Q97610487
Calmady;Q115751909
Cam;Q10440873
Cambridge;Q92677109
Camden;Q97751078
Cami;Q105093392
Camillus;Q21147578
Cammy;Q93167170
Camp;Q105448663
Candis;Q113800983
Candyce;Q105882091
Cao;Q94105859
Capel;Q16275160
Carew;Q56555922
Carle;Q111912921
Carlee;Q84079649
Carley;Q26944847
Carli;Q96476608
Carlie;Q85750666
Carlos Henrique;Q5042163
Carlson;Q111046671
Carmelina;Q52063209
Carmichael;Q89415011
Carnegie;Q61741989
Carol;Q18201469
Carrington;Q50874138
Carrol;Q57058029
Carson;Q16275176
Carstairs;Q99564555
Carswell;Q113128233
Cash;Q21235571
Cason;Q93745982
Cass;Q3661893
Cassie;Q19963541
Caswell;Q89395404
Cate;Q1050527
Cathalina;Q21143057
Cathinka;Q81898402
Cato;Q10981563
Cavendish;Q58011913
Cay;Q61957879
Cayla;Q56640658
Cayley;Q106917402
Cedomir;Q122231965
Cedrick;Q5057170
Cédrick;Q18074190
Cemre;Q65782818
Chace;Q93398662
Chadd;Q29018614
Challis;Q132731371
Chalmers;Q50414223
Chambers;Q89401279
Champion;Q113128212
Chandan;Q56221296
Chandra;Q3666114
Chandrasekhar;Q10448308
Chang;Q20085851
Chang;Q96240389
Chang;Q96593608
Chang-hyeon;Q68801997
Chángqìng;Q125253150
Chang-sik;Q69507136
Chang-sun;Q69507750
Chángyuán;Q125241838
Chaplin;Q89278621
Chapman;Q28035467
Chappell;Q116281676
Charise;Q116740587
Charlee;Q85751535
Charley;Q20631334
Charlie;Q16275193
Charmian;Q96162428
Charteris;Q88975028
Chase;Q20020127
Châu;Q104596892
Chaworth;Q105503632
Chaytor;Q113128116
Chee;Q16275194
Cheick;Q64682618
Chen;Q105453982
Chen;Q106797950
Chen;Q96185501
Chén;Q124818752
Cheng;Q96184837
Cheng;Q96185706
Cheng;Q96185737
Cheng;Q96350666
Cheng;Q96593609
Chéng;Q125313959
Chěng;Q125217575
Chengen;Q110633764
Chenghan;Q110627623
Chenglong;Q123051144
Chengxiu;Q110877912
Chengxu;Q111048193
Chengzhi;Q105441615
Cheol-gyu;Q69507890
Cheol-ho;Q68600886
Chesney;Q63922280
Chetwynd;Q105830155
Chi;Q20111552
Chí;Q124684449
Chick;Q54959050
Chilton;Q85470719
Chip;Q16163596
Cholmondeley;Q88957657
Chong;Q108613217
Chong;Q110906606
Chong;Q96252253
Chongshan;Q110906564
Chóngxìn;Q124784895
Christ;Q66906168
Christal;Q98059919
Christoforos;Q123581085
Chrysostom;Q8427243
Chu;Q106797031
Chu;Q106918723
Chuan;Q107978502
Chubby;Q87196155
Chǔcái;Q125510169
Chun;Q96631726
Chung-sik;Q69507378
Chunhua;Q106997081
Chunlei;Q19857295
Chương;Q113015223
Chuyu;Q106797836
Ci;Q107021163
Cibele;Q16739660
Cicely;Q21959500
Cierra;Q108614925
Clancy;Q20155939
Clarkson;Q62083525
Claudina;Q21146558
Claudionor;Q21286061
Cleland;Q57625199
Clements;Q44542435
Clervaux;Q116447819
Clete;Q5131962
Çlirim;Q123581072
Clunes;Q114797853
Cobb;Q109567384
Cochran;Q131683062
Cokayne;Q82197237
Cola;Q67200688
Colborne;Q105499955
Collier;Q51991575
Collings;Q110937709
Cong;Q104551491
Cóng;Q96479515
Congyi;Q96481960
Constant;Q2294971
Conway;Q16275234
Conyngham;Q110452630
Cookie;Q17018081
Coolidge;Q111750054
Coote;Q113128391
Cope;Q102221279
Corbet;Q107636816
Corky;Q107617356
Cornwallis;Q92383278
Corrinne;Q24970289
Cortlandt;Q61849578
Cortney;Q84492669
Cosby;Q111048149
Cosme;Q4515104
Cotterell;Q105655235
Coumba;Q65767264
Courage;Q113128356
Courteney;Q110552607
Coventry;Q105973494
Covington;Q130752280
