namekey;imageurl;person;personLabel;personDescription;wikipediaENurl
http://www.wikidata.org/entity/Q67682992;https://commons.wikimedia.org/wiki/Special:Redirect/file/Limor_Son_Har-Melech.jpg?width=1024;http://www.wikidata.org/entity/Q115092610;Limor Son Har-Melech;Israeli politician;https://en.wikipedia.org/wiki/Limor_Son_Har-Melech
http://www.wikidata.org/entity/Q115022746;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jack_Smith_2023.png?width=1024;http://www.wikidata.org/entity/Q115271256;Jack Smith;American lawyer and special counsel (born 1969);https://en.wikipedia.org/wiki/Jack_Smith_(lawyer)
http://www.wikidata.org/entity/Q122215551;https://commons.wikimedia.org/wiki/Special:Redirect/file/Manol_Genov_%2845NS%29.png?width=1024;http://www.wikidata.org/entity/Q115283449;Manol Genov;Bulgarian politician (born 1960);https://en.wikipedia.org/wiki/Manol_Genov
http://www.wikidata.org/entity/Q124684086;https://commons.wikimedia.org/wiki/Special:Redirect/file/%E7%AC%A6%E5%AE%9A%E4%B8%80.jpg?width=1024;http://www.wikidata.org/entity/Q11543975;Fu Dingyi;Chinese educator and scholar;https://en.wikipedia.org/wiki/Fu_Dingyi
http://www.wikidata.org/entity/Q66363498;https://commons.wikimedia.org/wiki/Special:Redirect/file/98_takebe_arata.jpg?width=1024;http://www.wikidata.org/entity/Q11546586;Arata Takebe;Japanese politician;https://en.wikipedia.org/wiki/Arata_Takebe
http://www.wikidata.org/entity/Q96583178;https://commons.wikimedia.org/wiki/Special:Redirect/file/Women_-49kg_podium_-_Paris_Olympics_2024_%283%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q115470854;Guo Qing;Chinese taekwondo practitioner (born 2000);https://en.wikipedia.org/wiki/Guo_Qing
http://www.wikidata.org/entity/Q106860110;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jin_the_MC.jpg?width=1024;http://www.wikidata.org/entity/Q1154813;MC Jin;American rapper and actor;https://en.wikipedia.org/wiki/MC_Jin
http://www.wikidata.org/entity/Q21993666;https://commons.wikimedia.org/wiki/Special:Redirect/file/Halle_Houssein.jpg?width=1024;http://www.wikidata.org/entity/Q115492134;Halle Houssein;English association football player (born 2004);https://en.wikipedia.org/wiki/Halle_Houssein
http://www.wikidata.org/entity/Q48126647;https://commons.wikimedia.org/wiki/Special:Redirect/file/Air_National_Guard_NFL_Partnership_Jartavius_Martin_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q115492195;Quan Martin;American football player (born 2000);https://en.wikipedia.org/wiki/Quan_Martin
http://www.wikidata.org/entity/Q56640658;https://commons.wikimedia.org/wiki/Special:Redirect/file/Cayla_Murray.jpg?width=1024;http://www.wikidata.org/entity/Q115580989;Cayla Murray;South African politician (b. 1994);https://en.wikipedia.org/wiki/Cayla_Murray
http://www.wikidata.org/entity/Q97751080;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jaylin_Lucas_Indiana.jpg?width=1024;http://www.wikidata.org/entity/Q115588025;Jaylin Lucas;American football player (born 2004);https://en.wikipedia.org/wiki/Jaylin_Lucas
http://www.wikidata.org/entity/Q62092153;https://commons.wikimedia.org/wiki/Special:Redirect/file/HILL%2C_JOHN_P.%2C_HONORABLE_LCCN2016859927_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q1156159;John Philip Hill;American lawyer and politician, Maryland (1879-1941);https://en.wikipedia.org/wiki/John_Philip_Hill
http://www.wikidata.org/entity/Q4009354;https://commons.wikimedia.org/wiki/Special:Redirect/file/Velia_Vidal_Romero.jpg?width=1024;http://www.wikidata.org/entity/Q115628447;Velia Vidal;Colombian writer;https://en.wikipedia.org/wiki/Velia_Vidal
http://www.wikidata.org/entity/Q26856918;https://commons.wikimedia.org/wiki/Special:Redirect/file/Dabney_Herndon_Maury_2.jpg?width=1024;http://www.wikidata.org/entity/Q1156571;Dabney H. Maury;Confederate Army general (1822-1900);https://en.wikipedia.org/wiki/Dabney_H._Maury
http://www.wikidata.org/entity/Q124388777;https://commons.wikimedia.org/wiki/Special:Redirect/file/Duke_Wen_of_Jin_Recovering_His_State_%28%E6%99%89%E6%96%87%E5%85%AC%E5%BE%A9%E5%9C%8B%E5%9C%96%29_by_Li_Tang_%28%E6%9D%8E%E5%94%90%29%2C_1140.jpg?width=1024;http://www.wikidata.org/entity/Q11571375;Hu Yan;Di tribesman who served as a minister and general of Jin during the Spring and Autumn Period of Chinese history;https://en.wikipedia.org/wiki/Hu_Yan
http://www.wikidata.org/entity/Q96186013;https://commons.wikimedia.org/wiki/Special:Redirect/file/Dai_Ailian.jpg?width=1024;http://www.wikidata.org/entity/Q1157512;Dai Ailian;ballerina (1916-2006);https://en.wikipedia.org/wiki/Dai_Ailian
