qid;imageurl;person;personLabel;personDescription;wikipediaEN
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Godard%2001.jpg;http://www.wikidata.org/entity/Q817524;Benjamin Godard;French violinist and composer (1849–1895);https://en.wikipedia.org/wiki/Benjamin_Godard
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20H.%20Clover%20%28Kansas%20Congressman%29.jpg;http://www.wikidata.org/entity/Q817527;Benjamin H. Clover;American politician (1837-1899);https://en.wikipedia.org/wiki/Benjamin_H._Clover
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Gorka.jpg;http://www.wikidata.org/entity/Q817514;Benjamin Gorka;German footballer;https://en.wikipedia.org/wiki/Benjamin_Gorka
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20de%20l%27Ain%202014%20-%20Stage%203%20-%20Benjamin%20Giraud.jpg;http://www.wikidata.org/entity/Q817507;Benjamin Giraud;French bicycle racer;https://en.wikipedia.org/wiki/Benjamin_Giraud
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Helm%20Bristow%2C%20Brady-Handy%20bw%20photo%20portrait%2C%20ca%201870-1880.jpg;http://www.wikidata.org/entity/Q817531;Benjamin Helm Bristow;Union Army officer, lawyer, politician (1832-1896);https://en.wikipedia.org/wiki/Benjamin_Bristow
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Huger%2C%20head-and-shoulders%20portrait%2C%20right%20profile%20LCCN2007675938.jpg;http://www.wikidata.org/entity/Q817545;Benjamin Huger;American politician (1768-1823);https://en.wikipedia.org/wiki/Benjamin_Huger_(congressman)
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/10.12.12JoshMiddletonByLuigiNovi2.jpg;http://www.wikidata.org/entity/Q6290061;Joshua Middleton;American artist and designer;https://en.wikipedia.org/wiki/Joshua_Middleton
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/StateLibQld%201%2086924%20Sketch%20of%20Sir%20Joshua%20Peter%20Bell.jpg;http://www.wikidata.org/entity/Q6290121;Joshua Peter Bell;Australian politician (1827-1881);https://en.wikipedia.org/wiki/Joshua_Peter_Bell
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/2011%20Rostelecom%20Cup%20-%20Cain%26Reagan-4%20%28cropped%29%20-%20Joshua%20Reagan.jpg;http://www.wikidata.org/entity/Q6290150;Joshua Reagan;American pair skater;https://en.wikipedia.org/wiki/Joshua_Reagan
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Major%20%281786-1866%29.png;http://www.wikidata.org/entity/Q6290040;Joshua Major;English landscape designer (1786–1866);https://en.wikipedia.org/wiki/Joshua_Major
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Marquisj.jpg;http://www.wikidata.org/entity/Q6290050;Joshua Marquis;American politician and lawyer;https://en.wikipedia.org/wiki/Joshua_Marquis
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Josh%20McGuire%20at%20Mr%20Turner%20premiere.jpg;http://www.wikidata.org/entity/Q6290057;Joshua McGuire;British actor;https://en.wikipedia.org/wiki/Joshua_McGuire
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Richmond%20Rio%202016.jpg;http://www.wikidata.org/entity/Q6290155;Joshua Richmond;American sport shooter;https://en.wikipedia.org/wiki/Joshua_Richmond
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Poteat.jpg;http://www.wikidata.org/entity/Q6290129;Joshua Poteat;American writer;https://en.wikipedia.org/wiki/Joshua_Poteat
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/J%20Pusey%20c1895.jpg;http://www.wikidata.org/entity/Q6290138;Joshua Pusey;American inventor;https://en.wikipedia.org/wiki/Joshua_Pusey
http://www.wikidata.org/entity/Q3284319;http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Ledet%20at%20the%20White%20House.jpg;http://www.wikidata.org/entity/Q6290013;Joshua Ledet;singer;https://en.wikipedia.org/wiki/Joshua_Ledet
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Flinn.jpg;http://www.wikidata.org/entity/Q3453779;Ryan Flinn;Canadian ice hockey player;https://en.wikipedia.org/wiki/Ryan_Flinn_(ice_hockey)
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Zachary%20Braun%20pitching%20for%20the%20Kansas%20City%20Royals%20in%202007%20%28Cropped%29.jpg;http://www.wikidata.org/entity/Q3453746;Ryan Braun;Canadian baseball player;https://en.wikipedia.org/wiki/Ryan_Braun_(pitcher)
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Budde%20on%20May%2023%2C%202010.jpg;http://www.wikidata.org/entity/Q3453749;Ryan Budde;American baseball player;https://en.wikipedia.org/wiki/Ryan_Budde
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Detroit%20Lions%20Receiver%20Ryan%20Broyles%20at%20the%202012%20Lions%20training%20camp.jpg;http://www.wikidata.org/entity/Q3453750;Ryan Broyles;American football player, wide receiver;https://en.wikipedia.org/wiki/Ryan_Broyles
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/IMG%209070%20Ryan%20Church.jpg;http://www.wikidata.org/entity/Q3453756;Ryan Church;American baseball player;https://en.wikipedia.org/wiki/Ryan_Church
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/2022-09-23%20Eisb%C3%A4ren%20Berlin%20gegen%20Grizzlys%20Wolfsburg%20%28Deutsche%20Eishockey-Liga%202022-23%29%20by%20Sandro%20Halank%E2%80%93022.jpg;http://www.wikidata.org/entity/Q3453751;Ryan Button;Canadian ice hockey defenceman;https://en.wikipedia.org/wiki/Ryan_Button
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Doumit%20on%20June%2026%2C%202012.jpg;http://www.wikidata.org/entity/Q3453768;Ryan Doumit;baseball player from the United States;https://en.wikipedia.org/wiki/Ryan_Doumit
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Garlock.jpg;http://www.wikidata.org/entity/Q3453786;Ryan Garlock;Canadian ice hockey player;https://en.wikipedia.org/wiki/Ryan_Garlock
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/Ryan%20Hanigan%20on%20June%2028%2C%202014.jpg;http://www.wikidata.org/entity/Q3453796;Ryan Hanigan;baseball player from the United States;https://en.wikipedia.org/wiki/Ryan_Hanigan
http://www.wikidata.org/entity/Q3943046;http://commons.wikimedia.org/wiki/Special:FilePath/20140907-RyanAnderson.jpg;http://www.wikidata.org/entity/Q3453740;Ryan Anderson;Canadian cyclist;https://en.wikipedia.org/wiki/Ryan_Anderson_(cyclist)
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/Freeman%20Dyson.jpg;http://www.wikidata.org/entity/Q153717;Freeman Dyson;theoretical physicist and mathematician (1923–2020);https://en.wikipedia.org/wiki/Freeman_Dyson
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Schrieffer%201972.jpg;http://www.wikidata.org/entity/Q153201;John Robert Schrieffer;American physicist (1931-2019);https://en.wikipedia.org/wiki/John_Robert_Schrieffer
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Lindroth.png;http://www.wikidata.org/entity/Q153707;John Lindroth;gymnast (1883–1960);https://en.wikipedia.org/wiki/John_Lindroth_(gymnast)
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Travolta%2C%202014%20%28cropped%29.jpg;http://www.wikidata.org/entity/Q80938;John Travolta;American actor (born 1954);https://en.wikipedia.org/wiki/John_Travolta
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Churchill%2C%201st%20Duke%20of%20Marlborough%2C%20Captain-General%20of%20the%20English%20forces%20and%20Master-General%20of%20the%20Ordnance%2C%201702%20%28c%29%2C%20attributed%20to%20Michael%20Dahl%2091996.jpg;http://www.wikidata.org/entity/Q153803;John Churchill, 1st Duke of Marlborough;English soldier and statesman (1650-1722);https://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/J.%20R.%20R.%20Tolkien%2C%20ca.%201925.jpg;http://www.wikidata.org/entity/Q892;J. R. R. Tolkien;British writer and philologist (1892–1973);https://en.wikipedia.org/wiki/J._R._R._Tolkien
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/Minute%20Man%20Statue%20Lexington%20Massachusetts%20cropped.jpg;http://www.wikidata.org/entity/Q81148;John Parker;American colonial farmer, smith and soldier;https://en.wikipedia.org/wiki/John_Parker_(captain)
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Parsons.png;http://www.wikidata.org/entity/Q81377;John Robert Parsons;Irish photographer (1826-1909);https://en.wikipedia.org/wiki/John_Robert_Parsons
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Gurdon%20Cambridge%202012.JPG;http://www.wikidata.org/entity/Q81218;John Gurdon;British developmental biologist;https://en.wikipedia.org/wiki/John_Gurdon
http://www.wikidata.org/entity/Q4925477;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Keats%20by%20William%20Hilton.jpg;http://www.wikidata.org/entity/Q82083;John Keats;English Romantic poet (1795–1821);https://en.wikipedia.org/wiki/John_Keats
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Zoundi%202013%203.jpg;http://www.wikidata.org/entity/Q938639;Patrick Zoundi;Burkinabe footballer;https://en.wikipedia.org/wiki/Patrick_Zoundi
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Balkany%20Patrick%20cropped.JPG;http://www.wikidata.org/entity/Q945181;Patrick Balkany;French politician;https://en.wikipedia.org/wiki/Patrick_Balkany
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Barre.jpg;http://www.wikidata.org/entity/Q944462;Patrick Barré;French athlete;https://en.wikipedia.org/wiki/Patrick_Barr%C3%A9
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patty%20Mills%202017.jpg;http://www.wikidata.org/entity/Q952921;Patty Mills;Australian basketball player;https://en.wikipedia.org/wiki/Patty_Mills
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20J.%20Kennedy%2C%20official%20Congressional%20photo.JPG;http://www.wikidata.org/entity/Q948920;Patrick J. Kennedy;American politician, Rhode Island;https://en.wikipedia.org/wiki/Patrick_J._Kennedy
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Gerritsen.jpg;http://www.wikidata.org/entity/Q940906;Patrick Gerritsen;Dutch footballer;https://en.wikipedia.org/wiki/Patrick_Gerritsen
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Ian%20McLagan.jpg;http://www.wikidata.org/entity/Q952491;Ian McLagan;English keyboardist (1945–2014);https://en.wikipedia.org/wiki/Ian_McLagan
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20O%27Sullivan.JPG;http://www.wikidata.org/entity/Q942970;Patrick O'Sullivan;American ice hockey player;https://en.wikipedia.org/wiki/Patrick_O%27Sullivan
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Patterson%202015.jpg;http://www.wikidata.org/entity/Q964139;Patrick Patterson;American basketball player;https://en.wikipedia.org/wiki/Patrick_Patterson_(basketball)
http://www.wikidata.org/entity/Q18002623;http://commons.wikimedia.org/wiki/Special:FilePath/Jimmy%20Carr%2C%202015-04-13%202.jpg;http://www.wikidata.org/entity/Q964454;Jimmy Carr;British comedian and humourist;https://en.wikipedia.org/wiki/Jimmy_Carr
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/SamuelAmsler.jpg;http://www.wikidata.org/entity/Q479474;Samuel Amsler;Swiss engraver (1791-1849);https://en.wikipedia.org/wiki/Samuel_Amsler
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20Goodlove%20Cosgrove.jpg;http://www.wikidata.org/entity/Q474490;Samuel G. Cosgrove;American politician (1847-1909);https://en.wikipedia.org/wiki/Samuel_G._Cosgrove
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/DanielaBak-1983-1984-JPG%20%285%29-%28EA890B20-299C-1005-9C16-871061331441%29.jpg;http://www.wikidata.org/entity/Q473782;Samuel Bak;Lithuanian-American painter, writer;https://en.wikipedia.org/wiki/Samuel_Bak
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Whiteman%201939.jpg;http://www.wikidata.org/entity/Q470182;Paul Whiteman;American jazz musician and popular bandleader (1890–1967);https://en.wikipedia.org/wiki/Paul_Whiteman
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Whiteman%20LCCN2014713789.jpg;http://www.wikidata.org/entity/Q470182;Paul Whiteman;American jazz musician and popular bandleader (1890–1967);https://en.wikipedia.org/wiki/Paul_Whiteman
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/SamEdwardsBetter.jpg;http://www.wikidata.org/entity/Q472382;Sam Edwards;Welsh physicist (1928–2015);https://en.wikipedia.org/wiki/Sam_Edwards_(physicist)
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/George%20Robinson%201st%20Marquess%20of%20Ripon.jpg;http://www.wikidata.org/entity/Q333111;George Robinson, 1st Marquess of Ripon;British politician (1827–1909);https://en.wikipedia.org/wiki/George_Robinson,_1st_Marquess_of_Ripon
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Northcote%2C%20Samuel%20Hood.jpg;http://www.wikidata.org/entity/Q332623;Samuel Hood, 1st Viscount Hood;British Admiral known particularly for his service in the American Revolutionary War and French Revolutionary Wars (1724-1816);https://en.wikipedia.org/wiki/Samuel_Hood,_1st_Viscount_Hood
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Samsharpe.JPG;http://www.wikidata.org/entity/Q328958;Samuel Sharpe;leader of the Baptist War, 1831 slave rebellion in Jamaica (1801–1832);https://en.wikipedia.org/wiki/Samuel_Sharpe
http://www.wikidata.org/entity/Q629347;http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Samuel%20Hoare%20GGBain.jpg;http://www.wikidata.org/entity/Q333429;Samuel Hoare, 1st Viscount Templewood;British Conservative politician (1880-1959);https://en.wikipedia.org/wiki/Samuel_Hoare,_1st_Viscount_Templewood
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Wielrenner%20Jaap%20Meijer%2CMeyer%20poseert%20met%20rechts%20zijn%20vader%2C%20in%20de%20UCI-trui%20van%20de%20wereldkampioen%2C%20SFA002006819.jpg;http://www.wikidata.org/entity/Q1385065;Jaap Meijer;Dutch racing cyclist;https://en.wikipedia.org/wiki/Jaap_Meijer
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jackie%20Fields%20LOC.jpg;http://www.wikidata.org/entity/Q1374890;Jackie Fields;American boxer (1908–1987);https://en.wikipedia.org/wiki/Jackie_Fields
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20de%20haan-1517677954.jpg;http://www.wikidata.org/entity/Q1375209;Jacob de Haan;Dutch conductor and composer;https://en.wikipedia.org/wiki/Jacob_de_Haan_(composer)
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Yaakov%20ben%20Asher.jpg;http://www.wikidata.org/entity/Q1376849;Jacob ben Asher;German rabbinic authority (c. 1269 - c. 1343);https://en.wikipedia.org/wiki/Jacob_ben_Asher
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jacobus%20Houbraken.JPG;http://www.wikidata.org/entity/Q1375551;Jacobus Houbraken;Dutch engraver (1698-1780);https://en.wikipedia.org/wiki/Jacobus_Houbraken
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20d%27Avesnes%20seig%20guise%201186%20abbaye%20anchin.JPG;http://www.wikidata.org/entity/Q1386429;James of Avesnes;French nobleman (1152-1191);https://en.wikipedia.org/wiki/James_of_Avesnes
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20Axelsson%20Lindblom%2C%20Archbishop%20of%20Uppsala%2C%20NF.png;http://www.wikidata.org/entity/Q1401658;Jacob Axelsson Lindblom;Church of Sweden bishop (1746-1819);https://en.wikipedia.org/wiki/Jacob_Axelsson_Lindblom
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Wassenaer-Obdam.jpg;http://www.wikidata.org/entity/Q1386569;Jacob van Wassenaer Obdam;Dutch admiral (1610-1665);https://en.wikipedia.org/wiki/Jacob_van_Wassenaer_Obdam
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20A%20Garber.jpg;http://www.wikidata.org/entity/Q1430376;Jacob A. Garber;American politician (1879-1953);https://en.wikipedia.org/wiki/Jacob_A._Garber
http://www.wikidata.org/entity/Q25999604;http://commons.wikimedia.org/wiki/Special:FilePath/VanMaerlant.jpg;http://www.wikidata.org/entity/Q1393906;Jacob van Maerlant;13th-century Flemish poet;https://en.wikipedia.org/wiki/Jacob_van_Maerlant
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/EAHitchcock-SecInterior.jpg;http://www.wikidata.org/entity/Q374976;Ethan A. Hitchcock;American diplomat (1835–1909);https://en.wikipedia.org/wiki/Ethan_A._Hitchcock_(Interior)
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/Ethan%20Suplee%20cropped.jpg;http://www.wikidata.org/entity/Q314610;Ethan Suplee;American actor;https://en.wikipedia.org/wiki/Ethan_Suplee
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/EthanPhillips.jpg;http://www.wikidata.org/entity/Q435475;Ethan Phillips;American actor;https://en.wikipedia.org/wiki/Ethan_Phillips
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/Ethan%20Embry%20in%202018.jpg;http://www.wikidata.org/entity/Q383064;Ethan Embry;American actor;https://en.wikipedia.org/wiki/Ethan_Embry
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/UCI%20Track%20World%20Championships%202018%20167.jpg;http://www.wikidata.org/entity/Q466264;Ethan Mitchell;New Zealand racing cyclist;https://en.wikipedia.org/wiki/Ethan_Mitchell
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/Ethan%20Hawke%202018.jpg;http://www.wikidata.org/entity/Q484615;Ethan Hawke;American actor and writer (b. 1970);https://en.wikipedia.org/wiki/Ethan_Hawke
http://www.wikidata.org/entity/Q19828980;http://commons.wikimedia.org/wiki/Special:FilePath/Ethan%20Hawke%20at%20Berlinale%202025.jpg;http://www.wikidata.org/entity/Q484615;Ethan Hawke;American actor and writer (b. 1970);https://en.wikipedia.org/wiki/Ethan_Hawke
